t;c.x;c.y;c.z;t.x;t.y;t.z;n.x;n.y;n.z;b.x;b.y;b.z
-0.2;8.514671974;-6.851828409;-2.83317855;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
-0.19;8.508278491;-6.844139287;-2.833206376;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
-0.18;8.501885007;-6.836450165;-2.833234203;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
-0.17;8.495491524;-6.828761043;-2.833262029;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
-0.16;8.489098041;-6.821071921;-2.833289855;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
-0.15;8.482704558;-6.813382799;-2.833317681;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
-0.14;8.476311074;-6.805693677;-2.833345508;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
-0.13;8.469917591;-6.798004555;-2.833373334;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
-0.12;8.463524108;-6.790315433;-2.83340116;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
-0.11;8.457130625;-6.782626311;-2.833428986;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
-0.1;8.450737142;-6.774937189;-2.833456812;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
-0.09;8.444343658;-6.767248067;-2.833484639;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
-0.08;8.437950175;-6.759558945;-2.833512465;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
-0.07;8.431556692;-6.751869823;-2.833540291;-0.639348323;0.768912205;-0.002782623;-0.764290633;-0.635100782;0.111833919;0.084223219;0.073627562;0.993723015
