t;c.x;c.y;c.z;t.x;t.y;t.z;n.x;n.y;n.z;b.x;b.y;b.z
0;-7.5;10.5625;0;0.257662651;-0.96623494;0;0.96623494;0.257662651;0;0;0;1
0.01;-7.49742296;10.55283776;0;0.257745334;-0.966212887;0;0.966212887;0.257745334;0;0;0;1
0.02;-7.494845093;10.54317574;0;0.257828093;-0.966190806;0;0.966190806;0.257828093;0;0;0;1
0.03;-7.492266398;10.53351394;0;0.257910931;-0.966168697;0;0.966168697;0.257910931;0;0;0;1
0.04;-7.489686874;10.52385237;0;0.257993847;-0.96614656;0;0.96614656;0.257993847;0;0;0;1
0.05;-7.487106521;10.51419101;0;0.25807684;-0.966124394;0;0.966124394;0.25807684;0;0;0;1
0.06;-7.484525337;10.50452988;0;0.258159913;-0.966102199;0;0.966102199;0.258159913;0;0;0;1
0.07;-7.481943322;10.49486897;0;0.258243062;-0.966079976;0;0.966079976;0.258243062;0;0;0;1
0.08;-7.479360476;10.48520828;0;0.258326292;-0.966057724;0;0.966057724;0.258326292;0;0;0;1
0.09;-7.476776796;10.47554782;0;0.258409599;-0.966035444;0;0.966035444;0.258409599;0;0;0;1
0.1;-7.474192283;10.46588757;0;0.258492985;-0.966013135;0;0.966013135;0.258492985;0;0;0;1
0.11;-7.471606936;10.45622755;0;0.258576451;-0.965990797;0;0.965990797;0.258576451;0;0;0;1
0.12;-7.469020754;10.44656776;0;0.258659994;-0.96596843;0;0.96596843;0.258659994;0;0;0;1
0.13;-7.466433736;10.43690818;0;0.258743618;-0.965946034;0;0.965946034;0.258743618;0;0;0;1
0.14;-7.463845882;10.42724884;0;0.25882732;-0.965923609;0;0.965923609;0.25882732;0;0;0;1
0.15;-7.46125719;10.41758971;0;0.258911102;-0.965901155;0;0.965901155;0.258911102;0;0;0;1
0.16;-7.458667659;10.40793081;0;0.258994963;-0.965878672;0;0.965878672;0.258994963;0;0;0;1
0.17;-7.45607729;10.39827214;0;0.259078903;-0.96585616;0;0.96585616;0.259078903;0;0;0;1
0.18;-7.453486081;10.38861369;0;0.259162924;-0.965833619;0;0.965833619;0.259162924;0;0;0;1
0.19;-7.450894031;10.37895547;0;0.259247024;-0.965811048;0;0.965811048;0.259247024;0;0;0;1
0.2;-7.44830114;10.36929747;0;0.259331204;-0.965788448;0;0.965788448;0.259331204;0;0;0;1
0.21;-7.445707407;10.3596397;0;0.259415465;-0.965765819;0;0.965765819;0.259415465;0;0;0;1
0.22;-7.443112831;10.34998215;0;0.259499805;-0.96574316;0;0.96574316;0.259499805;0;0;0;1
0.23;-7.440517411;10.34032483;0;0.259584226;-0.965720472;0;0.965720472;0.259584226;0;0;0;1
0.24;-7.437921146;10.33066774;0;0.259668727;-0.965697754;0;0.965697754;0.259668727;0;0;0;1
0.25;-7.435324036;10.32101088;0;0.259753309;-0.965675007;0;0.965675007;0.259753309;0;0;0;1
0.26;-7.43272608;10.31135424;0;0.259837972;-0.96565223;0;0.96565223;0.259837972;0;0;0;1
0.27;-7.430127276;10.30169784;0;0.259922715;-0.965629423;0;0.965629423;0.259922715;0;0;0;1
0.28;-7.427527625;10.29204166;0;0.26000754;-0.965606586;0;0.965606586;0.26000754;0;0;0;1
0.29;-7.424927125;10.2823857;0;0.260092444;-0.96558372;0;0.96558372;0.260092444;0;0;0;1
0.3;-7.422325776;10.27272998;0;0.260177432;-0.965560824;0;0.965560824;0.260177432;0;0;0;1
0.31;-7.419723576;10.26307449;0;0.2602625;-0.965537897;0;0.965537897;0.2602625;0;0;0;1
0.32;-7.417120526;10.25341922;0;0.260347649;-0.965514941;0;0.965514941;0.260347649;0;0;0;1
0.33;-7.414516623;10.24376419;0;0.260432881;-0.965491955;0;0.965491955;0.260432881;0;0;0;1
0.34;-7.411911868;10.23410938;0;0.260518192;-0.965468939;0;0.965468939;0.260518192;0;0;0;1
0.35;-7.409306259;10.22445481;0;0.260603588;-0.965445892;0;0.965445892;0.260603588;0;0;0;1
0.36;-7.406699796;10.21480047;0;0.260689064;-0.965422815;0;0.965422815;0.260689064;0;0;0;1
0.37;-7.404092477;10.20514635;0;0.260774623;-0.965399708;0;0.965399708;0.260774623;0;0;0;1
0.38;-7.401484303;10.19549247;0;0.260860265;-0.96537657;0;0.96537657;0.260860265;0;0;0;1
0.39;-7.398875272;10.18583882;0;0.260945987;-0.965353403;0;0.965353403;0.260945987;0;0;0;1
0.4;-7.396265383;10.1761854;0;0.261031793;-0.965330204;0;0.965330204;0.261031793;0;0;0;1
0.41;-7.393654636;10.16653222;0;0.261117682;-0.965306975;0;0.965306975;0.261117682;0;0;0;1
0.42;-7.391043029;10.15687926;0;0.261203652;-0.965283716;0;0.965283716;0.261203652;0;0;0;1
0.43;-7.388430562;10.14722654;0;0.261289708;-0.965260425;0;0.965260425;0.261289708;0;0;0;1
0.44;-7.385817235;10.13757406;0;0.261375844;-0.965237105;0;0.965237105;0.261375844;0;0;0;1
0.45;-7.383203045;10.1279218;0;0.261462065;-0.965213753;0;0.965213753;0.261462065;0;0;0;1
0.46;-7.380587993;10.11826978;0;0.261548369;-0.96519037;0;0.96519037;0.261548369;0;0;0;1
0.47;-7.377972078;10.10861799;0;0.261634755;-0.965166957;0;0.965166957;0.261634755;0;0;0;1
0.48;-7.375355298;10.09896644;0;0.261721227;-0.965143512;0;0.965143512;0.261721227;0;0;0;1
0.49;-7.372737653;10.08931512;0;0.261807781;-0.965120037;0;0.965120037;0.261807781;0;0;0;1
0.5;-7.370119142;10.07966404;0;0.261894418;-0.965096531;0;0.965096531;0.261894418;0;0;0;1
0.51;-7.367499764;10.07001319;0;0.261981142;-0.965072993;0;0.965072993;0.261981142;0;0;0;1
0.52;-7.364879519;10.06036258;0;0.262067947;-0.965049424;0;0.965049424;0.262067947;0;0;0;1
0.53;-7.362258405;10.05071221;0;0.262154838;-0.965025824;0;0.965025824;0.262154838;0;0;0;1
0.54;-7.359636422;10.04106207;0;0.262241813;-0.965002193;0;0.965002193;0.262241813;0;0;0;1
0.55;-7.357013569;10.03141216;0;0.262328871;-0.96497853;0;0.96497853;0.262328871;0;0;0;1
0.56;-7.354389844;10.02176249;0;0.262416016;-0.964954835;0;0.964954835;0.262416016;0;0;0;1
0.57;-7.351765248;10.01211307;0;0.262503244;-0.96493111;0;0.96493111;0.262503244;0;0;0;1
0.58;-7.349139779;10.00246387;0;0.262590557;-0.964907353;0;0.964907353;0.262590557;0;0;0;1
0.59;-7.346513437;9.992814918;0;0.262677957;-0.964883563;0;0.964883563;0.262677957;0;0;0;1
0.6;-7.34388622;9.983166202;0;0.26276544;-0.964859743;0;0.964859743;0.26276544;0;0;0;1
0.61;-7.341258127;9.973517724;0;0.262853009;-0.96483589;0;0.96483589;0.262853009;0;0;0;1
0.62;-7.338629159;9.963869484;0;0.262940664;-0.964812006;0;0.964812006;0.262940664;0;0;0;1
0.63;-7.335999314;9.954221483;0;0.263028403;-0.96478809;0;0.96478809;0.263028403;0;0;0;1
0.64;-7.333368591;9.944573722;0;0.26311623;-0.964764142;0;0.964764142;0.26311623;0;0;0;1
0.65;-7.330736989;9.934926201;0;0.263204141;-0.964740162;0;0.964740162;0.263204141;0;0;0;1
0.66;-7.328104508;9.925278919;0;0.263292138;-0.96471615;0;0.96471615;0.263292138;0;0;0;1
0.67;-7.325471146;9.915631878;0;0.263380223;-0.964692105;0;0.964692105;0.263380223;0;0;0;1
0.68;-7.322836903;9.905985077;0;0.263468392;-0.964668029;0;0.964668029;0.263468392;0;0;0;1
0.69;-7.320201778;9.896338517;0;0.263556649;-0.96464392;0;0.96464392;0.263556649;0;0;0;1
0.7;-7.31756577;9.886692199;0;0.263644992;-0.964619779;0;0.964619779;0.263644992;0;0;0;1
0.71;-7.314928878;9.877046122;0;0.263733421;-0.964595606;0;0.964595606;0.263733421;0;0;0;1
0.72;-7.312291101;9.867400287;0;0.263821938;-0.9645714;0;0.9645714;0.263821938;0;0;0;1
0.73;-7.309652439;9.857754694;0;0.263910542;-0.964547161;0;0.964547161;0.263910542;0;0;0;1
0.74;-7.30701289;9.848109344;0;0.263999231;-0.96452289;0;0.96452289;0.263999231;0;0;0;1
0.75;-7.304372454;9.838464236;0;0.26408801;-0.964498586;0;0.964498586;0.26408801;0;0;0;1
0.76;-7.30173113;9.828819372;0;0.264176875;-0.96447425;0;0.96447425;0.264176875;0;0;0;1
0.77;-7.299088916;9.819174751;0;0.264265827;-0.964449881;0;0.964449881;0.264265827;0;0;0;1
0.78;-7.296445813;9.809530375;0;0.264354868;-0.964425479;0;0.964425479;0.264354868;0;0;0;1
0.79;-7.293801819;9.799886242;0;0.264443996;-0.964401044;0;0.964401044;0.264443996;0;0;0;1
0.8;-7.291156933;9.790242354;0;0.264533211;-0.964376576;0;0.964376576;0.264533211;0;0;0;1
0.81;-7.288511154;9.780598711;0;0.264622516;-0.964352075;0;0.964352075;0.264622516;0;0;0;1
