t;c.x;c.y;c.z;t.x;t.y;t.z;n.x;n.y;n.z;b.x;b.y;b.z
0;-7;17.186576;0;0.074370472;-0.997230682;0;0.997230682;0.074370472;0;0;0;1
0.01;-6.999256168;17.1766037;0;0.0743958;-0.997228793;0;0.997228793;0.0743958;0;0;0;1
0.02;-6.998512084;17.16663142;0;0.074421146;-0.997226901;0;0.997226901;0.074421146;0;0;0;1
0.03;-6.997767746;17.15665916;0;0.07444651;-0.997225008;0;0.997225008;0.07444651;0;0;0;1
0.04;-6.997023154;17.14668692;0;0.074471893;-0.997223113;0;0.997223113;0.074471893;0;0;0;1
0.05;-6.996278308;17.1367147;0;0.074497303;-0.997221215;0;0.997221215;0.074497303;0;0;0;1
0.06;-6.995533208;17.1267425;0;0.07452273;-0.997219315;0;0.997219315;0.07452273;0;0;0;1
0.07;-6.994787853;17.11677032;0;0.074548176;-0.997217413;0;0.997217413;0.074548176;0;0;0;1
0.08;-6.994042244;17.10679815;0;0.074573642;-0.997215509;0;0.997215509;0.074573642;0;0;0;1
0.09;-6.993296381;17.09682601;0;0.074599134;-0.997213603;0;0.997213603;0.074599134;0;0;0;1
0.1;-6.992550262;17.08685388;0;0.074624643;-0.997211694;0;0.997211694;0.074624643;0;0;0;1
0.11;-6.991803887;17.07688177;0;0.074650172;-0.997209783;0;0.997209783;0.074650172;0;0;0;1
0.12;-6.991057258;17.06690968;0;0.07467572;-0.99720787;0;0.99720787;0.07467572;0;0;0;1
0.13;-6.990310373;17.05693761;0;0.074701294;-0.997205955;0;0.997205955;0.074701294;0;0;0;1
0.14;-6.989563233;17.04696556;0;0.074726887;-0.997204037;0;0.997204037;0.074726887;0;0;0;1
0.15;-6.988815836;17.03699353;0;0.074752498;-0.997202118;0;0.997202118;0.074752498;0;0;0;1
0.16;-6.988068182;17.02702152;0;0.07477813;-0.997200196;0;0.997200196;0.07477813;0;0;0;1
0.17;-6.987320272;17.01704953;0;0.074803787;-0.997198272;0;0.997198272;0.074803787;0;0;0;1
0.18;-6.986572106;17.00707756;0;0.074829462;-0.997196346;0;0.997196346;0.074829462;0;0;0;1
0.19;-6.985823683;16.9971056;0;0.074855156;-0.997194417;0;0.997194417;0.074855156;0;0;0;1
0.2;-6.985075004;16.98713367;0;0.074880872;-0.997192486;0;0.997192486;0.074880872;0;0;0;1
0.21;-6.984326066;16.97716175;0;0.074906612;-0.997190553;0;0.997190553;0.074906612;0;0;0;1
0.22;-6.983576871;16.96718986;0;0.074932372;-0.997188618;0;0.997188618;0.074932372;0;0;0;1
0.23;-6.982827419;16.95721798;0;0.074958149;-0.997186681;0;0.997186681;0.074958149;0;0;0;1
0.24;-6.982077708;16.94724612;0;0.074983948;-0.997184741;0;0.997184741;0.074983948;0;0;0;1
0.25;-6.98132774;16.93727429;0;0.075009773;-0.997182799;0;0.997182799;0.075009773;0;0;0;1
0.26;-6.980577513;16.92730247;0;0.075035616;-0.997180854;0;0.997180854;0.075035616;0;0;0;1
0.27;-6.979827028;16.91733067;0;0.075061478;-0.997178908;0;0.997178908;0.075061478;0;0;0;1
0.28;-6.979076283;16.90735889;0;0.075087361;-0.997176959;0;0.997176959;0.075087361;0;0;0;1
0.29;-6.97832528;16.89738713;0;0.07511327;-0.997175008;0;0.997175008;0.07511327;0;0;0;1
0.3;-6.977574018;16.88741539;0;0.075139198;-0.997173055;0;0.997173055;0.075139198;0;0;0;1
